"F38,F20",62115
F26,981661
"F26,F24",171723
"F26,F25",130395
"F26,F15",81948
"F26,F0",93295
"F26,F12",86055
"F26,F17",106733
"F26,F2",103105
"F26,F7",143603
"F26,F5",89222
"F26,F19",155429
"F26,F13",102748
"F26,F13,F24",61617
"F26,F3",136663
"F26,F16",120188
"F26,F8",152259
"F26,F10",62307
"F26,F14",123528
"F26,F6",68881
"F26,F11",88991
